Package Name,Dependant,Current,Wanted,Latest,Type,Critical,High,Moderate,Low,Info,Workspace,URL
@ampproject/toolbox-cors,web-bff,2.5.1,2.7.1,2.7.1,dependencies,false,false,false,false,false,,https://github.com/ampproject/amp-toolbox/tree/main/packages/cors
@api-platform/admin,reactions-admin,2.2.1,2.5.3,2.5.3,dependencies,false,false,false,false,false,,https://github.com/api-platform/admin
@babel/cli,advertising,7.11.6,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,auth-utils,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,cache-headers,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,consent-checker,7.10.5,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,danger,7.12.1,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,dynamic-related-content,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,fabric-api-clients,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,im-platform-openid-connect,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,logger,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,next-auth,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,next-current-url,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,next-link-adapter,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,permutive,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,pockets,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,react-use-pagination-hook,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,reactions,7.10.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,semantic-release-config,7.10.5,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,speedcurve-lux,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,static-component-generator,7.10.1,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,stylelint-config,7.12.1,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,universal-fetch,7.8.4,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
,web-bff,7.10.0,7.12.8,7.12.8,devDependencies,false,false,false,false,false,,https://babeljs.io/
@babel/core,danger,7.12.3,7.12.9,7.12.9,devDependencies,false,false,false,false,false,,https://babeljs.io/
,im-pack,7.2.2,7.12.9,7.12.9,dependencies,false,false,false,false,false,,https://babeljs.io/
,im-platform-openid-connect,7.8.4,7.12.9,7.12.9,devDependencies,false,false,false,false,false,,https://babeljs.io/
,patchwork,7.9.0,7.12.9,7.12.9,devDependencies,false,false,false,false,false,,https://babeljs.io/
,permutive,7.12.3,7.12.9,7.12.9,devDependencies,false,false,false,false,false,,https://babeljs.io/
,reactions,7.10.4,7.12.9,7.12.9,devDependencies,false,false,false,false,false,,https://babeljs.io/
,site-config-service,7.4.3,7.12.9,7.12.9,devDependencies,false,false,false,false,false,,https://babeljs.io/
,speedcurve-lux,7.12.3,7.12.9,7.12.9,devDependencies,false,false,false,false,false,,https://babeljs.io/
,wcp-core,7.10.1,7.12.9,7.12.9,devDependencies,false,false,false,false,false,,https://babeljs.io/
,web-bff,7.12.3,7.12.9,7.12.9,devDependencies,false,false,false,false,false,,https://babeljs.io/
@babel/plugin-transform-modules-commonjs,im-platform-openid-connect,7.8.3,7.12.1,7.12.1,dependencies,false,false,false,false,false,,https://github.com/babel/babel.git
@babel/plugin-transform-runtime,consent-checker,7.10.5,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,dynamic-related-content,7.10.0,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,im-evolok,7.6.2,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,im-platform-openid-connect,7.8.3,7.12.1,7.12.1,dependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,my-hub,7.10.1,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,patchwork,7.10.0,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,permutive,7.10.0,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,pockets,7.10.0,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,post-creator,7.10.1,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,react-use-pagination-hook,7.10.0,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,reactions,7.10.4,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,recipes-frontend,7.10.0,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,speedcurve-lux,7.11.5,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,static-component-generator,7.10.1,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,universal-fetch,7.10.0,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
,wcp-core,7.10.1,7.12.1,7.12.1,devDependencies,false,false,false,false,false,,https://github.com/babel/babel.git
